Relation Data
ID,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5
112,0.225,0.756,0.785,0.090,0.914
113,0.587,0.021,0.859,0.653,0.588
114,0.942,0.298,0.209,0.406,0.184
115,0.993,0.038,0.834,0.842,0.269
116,0.239,0.768,0.113,0.166,0.025
117,0.191,0.913,0.517,0.337,0.389
118,0.825,0.045,0.075,0.514,0.983
119,0.865,0.357,0.850,0.382,0.076
120,0.301,0.816,0.693,0.442,0.125
121,0.845,0.850,0.268,0.753,0.738
122,0.559,0.684,0.686,0.013,0.419
123,0.500,0.668,0.050,0.509,0.687
124,0.499,0.556,0.139,0.325,0.462
125,0.979,0.990,0.534,0.972,0.035
126,0.967,0.536,0.463,0.408,0.959
127,0.459,0.980,0.055,0.106,0.955
128,0.688,0.260,0.356,0.958,0.262
129,0.733,0.817,0.206,0.153,0.607
130,0.882,0.210,0.842,0.144,0.182
131,0.443,0.495,0.309,0.164,0.429
132,0.868,0.171,0.509,0.284,0.941
133,0.235,0.647,0.998,0.508,0.419
134,0.352,0.428,0.864,0.360,0.783
135,0.508,0.816,0.139,0.333,0.702
136,0.476,0.306,0.365,0.058,0.680
137,0.323,0.244,0.529,0.405,0.100
138,0.065,0.442,0.288,0.400,0.126
139,0.038,0.184,0.227,0.536,0.070
140,0.712,0.217,0.270,0.323,0.926
141,0.260,0.635,0.742,0.547,0.211
142,0.379,0.586,0.700,0.636,0.615
143,0.649,0.716,0.972,0.311,0.136
144,0.369,0.350,0.360,0.197,0.854
145,0.604,0.137,0.510,0.931,0.656
146,0.003,0.528,0.913,0.571,0.460
147,0.177,0.606,0.038,0.493,0.855
148,0.872,0.946,0.201,0.580,0.216
149,0.031,0.968,0.957,0.715,0.246
150,0.313,0.501,0.601,0.675,0.991
151,0.466,0.055,0.268,0.133,0.985
152,0.110,0.660,0.992,0.803,0.053
153,0.621,0.313,0.307,0.430,0.464
154,0.509,0.868,0.534,0.855,0.563
155,0.736,0.272,0.028,0.036,0.863
156,0.435,0.383,0.638,0.061,0.677
157,0.775,0.578,0.843,0.982,0.613
158,0.292,0.144,0.979,0.025,0.242
159,0.879,0.248,0.966,0.149,0.958
160,0.675,0.099,0.442,0.924,0.972
161,0.706,0.698,0.884,0.738,0.668
162,0.552,0.764,0.799,0.762,0.880
163,0.213,0.126,0.152,0.088,0.659
164,0.323,0.958,0.947,0.139,0.525
165,0.210,0.757,0.531,0.587,0.343
166,0.587,0.685,0.577,0.625,0.942
167,0.833,0.931,0.527,0.494,0.331
168,0.128,0.148,0.471,0.432,0.325
169,0.214,0.844,0.329,0.258,0.072
170,0.742,0.150,0.597,0.350,0.401
171,0.923,0.109,0.625,0.532,0.802
172,0.188,0.568,0.186,0.989,0.790
173,0.447,0.090,0.865,0.330,0.851
174,0.938,0.815,0.873,0.726,0.323
175,0.115,0.804,0.582,0.808,0.015
176,0.247,0.785,0.176,0.880,0.650
177,0.429,1.000,0.817,0.359,0.166
178,0.527,0.737,0.492,0.714,0.315
179,0.212,0.093,0.525,0.182,0.793
180,0.372,0.209,0.811,0.700,0.836
181,0.876,0.803,0.898,0.222,0.530
182,0.019,0.627,0.468,0.985,0.855
183,0.407,0.386,0.558,0.444,0.341
184,0.319,0.983,0.888,0.361,0.826
185,0.549,0.290,0.666,0.351,0.470
186,0.764,0.190,0.913,0.883,0.627
187,0.431,0.090,0.685,0.627,0.307
188,0.941,0.603,0.453,0.035,0.075
189,0.533,0.729,0.203,0.763,0.187
190,0.359,0.288,0.842,0.517,0.424
191,0.915,0.194,0.222,0.747,0.027
192,0.716,0.881,0.921,0.970,0.071
193,0.901,0.826,0.231,0.930,0.515
194,0.626,0.166,0.122,0.535,0.819
195,0.630,0.837,0.418,0.150,0.822
196,0.028,0.482,0.112,0.049,0.237
197,0.774,0.327,0.335,0.334,0.193
198,0.281,0.971,0.095,0.940,0.812
199,0.182,0.095,0.282,0.219,0.051
200,0.152,0.899,0.098,0.706,0.407
201,0.809,0.813,0.592,0.220,0.973
202,0.029,0.320,0.210,0.190,0.879
203,0.189,0.163,0.853,0.148,0.983
204,0.022,0.421,0.317,0.059,0.848
205,0.250,0.453,0.056,0.478,0.536
206,0.677,0.774,0.566,0.698,0.404
207,0.916,0.840,0.470,0.623,0.400
208,0.721,0.342,0.250,0.924,0.856
209,0.769,0.964,0.269,0.777,0.729
210,0.021,0.628,0.617,0.801,0.244
211,0.879,0.752,0.926,0.759,0.295
212,0.319,0.408,0.077,0.662,0.772
213,0.505,0.818,0.154,0.050,0.181
214,0.685,0.597,0.450,0.199,0.327
215,0.950,0.020,0.755,0.361,0.925
216,0.126,0.275,0.136,0.681,0.869
217,0.840,0.797,0.431,0.209,0.937
218,0.824,0.620,0.938,0.880,0.489
219,0.055,0.177,0.295,0.625,0.002
220,0.669,0.531,0.687,0.800,0.964
221,0.705,0.322,0.973,0.508,0.382
222,0.580,0.192,0.795,0.544,0.460
223,0.672,0.968,0.601,0.681,0.765
224,0.702,0.697,0.463,0.564,0.745
225,0.411,0.624,0.325,0.268,0.330
226,0.472,0.373,0.019,0.599,0.825
227,0.963,0.348,0.734,0.997,0.243
228,0.358,0.462,0.706,0.077,0.802
229,0.296,0.716,0.985,0.846,0.883
230,0.456,0.869,0.502,0.902,0.994
231,0.515,0.346,0.442,0.525,0.073
232,0.131,0.315,0.961,0.866,0.031
233,0.762,0.306,0.893,0.550,0.332
234,0.234,0.361,0.587,0.500,0.722
235,0.389,0.744,0.780,0.603,0.836
236,0.728,0.654,0.666,0.808,0.629
237,0.628,0.275,0.012,0.914,0.135
238,0.505,0.583,0.222,0.795,0.505
239,0.373,0.425,0.754,0.102,0.009
240,0.963,0.436,0.690,0.188,0.178
241,0.066,0.073,0.809,0.192,0.755
242,0.268,0.509,0.936,0.739,0.216
243,0.107,0.058,0.663,0.990,0.285
244,0.801,0.377,0.345,0.516,0.388
245,0.817,0.420,0.938,0.136,0.975
246,0.961,0.355,0.260,0.837,0.712
247,0.023,0.316,0.424,0.486,0.219
248,0.334,0.775,0.034,0.832,0.938
249,0.754,0.006,0.397,0.179,0.107
250,0.189,0.053,0.400,0.024,0.735
251,0.866,0.135,0.823,0.277,0.858
252,0.993,0.050,0.654,0.865,0.474
253,0.399,0.495,0.017,0.884,0.397
254,0.035,0.274,0.877,0.714,0.373
255,0.912,0.652,0.289,0.807,0.293
256,0.502,0.205,0.066,0.567,0.264
257,0.396,0.964,0.157,0.153,0.813
258,0.502,0.046,0.641,0.643,0.485
259,0.874,0.332,0.524,0.494,0.842
260,0.195,0.491,0.461,0.230,0.186
261,0.547,0.124,0.117,0.997,0.343
262,0.394,0.541,0.617,0.443,0.003
263,0.902,0.467,0.029,0.864,0.896
264,0.081,0.743,0.222,0.632,0.722
265,0.511,0.044,0.882,0.839,0.866
266,0.089,0.614,0.985,0.268,0.737
267,0.018,0.681,0.373,0.975,0.305
268,0.694,0.010,0.922,0.396,0.403
269,0.885,0.852,0.503,0.218,0.669
270,0.004,0.269,0.535,0.179,0.362
271,0.821,0.301,0.817,0.212,0.565
272,0.110,0.298,0.490,0.055,0.653
273,0.969,0.884,0.569,0.485,0.701
274,0.180,0.306,0.320,0.412,0.563
275,0.270,0.482,0.768,0.474,0.978
276,0.726,0.517,0.128,0.096,0.368
277,0.200,0.999,0.003,0.539,0.688
278,0.417,0.037,0.454,0.129,0.901
279,0.919,0.749,0.383,0.046,0.390
280,0.319,0.971,0.536,0.656,0.606
281,0.883,0.378,0.611,0.932,0.339
282,0.520,0.142,0.317,0.732,0.852
283,0.027,0.202,0.554,0.957,0.103
284,0.627,0.026,0.137,0.367,0.707
285,0.569,0.933,0.657,0.712,0.973
286,0.797,0.387,0.644,0.337,0.606
287,0.574,0.993,0.407,0.449,0.047
288,0.242,0.947,0.474,0.312,0.791
289,0.173,0.605,0.994,0.189,0.058
290,0.656,0.194,0.955,0.565,0.657
291,0.337,0.813,0.442,0.262,0.336
292,0.861,0.244,0.716,0.944,0.060
293,0.693,0.191,0.197,0.429,0.298
294,0.265,0.768,0.520,0.387,0.932
295,0.848,0.046,0.396,0.820,0.913
296,0.038,0.252,0.210,0.347,0.545
297,0.185,0.071,0.456,0.659,0.157
298,0.541,0.811,0.636,0.366,0.201
299,0.246,0.951,0.953,0.056,0.061
300,0.427,0.138,0.342,0.169,0.954
301,0.484,0.146,0.953,0.933,0.906
302,0.376,0.630,0.282,0.306,0.777
303,0.745,0.722,0.465,0.541,0.226
304,0.157,0.920,0.563,0.139,0.081
305,0.051,0.538,0.851,0.380,0.578
306,0.904,0.832,0.360,0.960,0.110
307,0.734,0.513,0.942,0.801,0.708
308,0.379,0.649,0.294,0.126,0.799
309,0.167,0.159,0.032,0.048,0.501
310,0.798,0.649,0.579,0.202,0.669
311,0.253,0.591,0.667,0.216,0.523
312,0.234,0.354,0.595,0.285,0.017
313,0.683,0.041,0.176,0.915,0.426
314,0.060,0.374,0.742,0.761,0.676
315,0.963,0.584,0.967,0.647,0.923
316,0.491,0.957,0.898,0.994,0.136
317,0.451,0.412,0.876,0.896,0.617
318,0.497,0.300,0.620,0.423,0.626
319,0.539,0.405,0.797,0.028,0.823
320,0.827,0.912,0.844,0.932,0.432
321,0.565,0.897,0.986,0.769,0.676
322,0.122,0.061,0.857,0.381,0.229
323,0.809,0.816,0.065,0.467,0.696
324,0.301,0.957,0.234,0.821,0.511
325,0.557,0.849,0.537,0.799,0.296
326,0.017,0.257,0.325,0.270,0.371
327,0.879,0.774,0.818,0.052,0.275
328,0.891,0.003,0.403,0.123,0.465
329,0.760,0.763,0.181,0.463,0.600
330,0.791,0.778,0.179,0.268,0.933
331,0.904,0.640,0.690,0.450,0.780
332,0.042,0.865,0.882,0.200,0.605
333,0.110,0.941,0.268,0.122,0.209
334,0.641,0.341,0.416,0.551,0.845
335,0.176,0.073,0.335,0.563,0.253
336,0.112,0.240,0.036,0.240,0.704
337,0.783,0.076,0.369,0.648,0.696
338,0.168,0.301,0.102,0.312,0.561
339,0.656,0.936,0.871,0.974,0.007
340,0.219,0.104,0.520,0.580,0.508
341,0.221,0.190,0.281,0.056,0.653
342,0.535,0.983,0.571,0.514,0.209
343,0.164,0.845,0.752,0.689,0.112
344,0.478,0.415,0.769,0.905,0.869
345,0.254,0.433,0.291,0.874,0.159
346,0.291,0.401,0.819,0.544,0.086
347,0.972,0.049,0.862,0.663,0.356
348,0.834,0.885,0.436,0.159,0.254
349,0.257,0.584,0.775,0.605,0.069
350,0.152,0.434,0.018,0.932,0.775
351,0.647,0.209,0.053,0.947,0.078
352,0.715,0.345,0.658,0.943,0.547
353,0.495,0.722,0.029,0.910,0.178
354,0.322,0.274,0.545,0.378,0.130
355,0.659,0.267,0.830,0.862,0.848
356,0.508,0.143,0.275,0.610,0.003
357,0.109,0.430,0.562,0.265,0.996
358,0.504,0.181,0.203,0.399,0.566
359,0.363,0.010,0.338,0.492,1.000
360,0.474,0.880,0.655,0.228,0.975
361,0.471,0.087,0.968,0.735,0.586
362,0.583,0.389,0.340,0.019,0.610
363,0.722,0.154,0.357,0.929,0.648
364,0.011,0.736,0.585,0.096,0.493
365,0.981,0.268,0.917,0.168,0.625
366,0.080,0.316,0.399,0.089,0.432
367,0.330,0.732,0.548,0.142,0.937
368,0.391,0.582,0.788,0.543,0.136
369,0.750,0.021,0.729,0.575,0.669
370,0.890,0.097,0.048,0.969,0.132
371,0.032,0.354,0.789,0.069,0.937
372,0.945,0.068,0.982,0.294,0.649
373,0.990,0.799,0.473,0.678,0.355
374,0.503,0.796,0.407,0.549,0.926
375,0.773,0.423,0.022,0.499,0.791
376,0.404,0.897,0.077,0.778,0.662
377,0.377,0.177,0.556,0.629,0.140
378,0.856,0.618,0.091,0.792,0.953
379,0.085,0.756,0.734,0.633,0.433
380,0.598,0.553,0.997,0.419,0.473
381,0.105,0.020,0.271,0.706,0.022
382,0.232,0.849,0.699,0.281,0.374
383,0.965,0.124,0.804,0.724,0.477
384,0.943,0.820,0.890,0.067,0.301
385,0.828,0.693,0.874,0.344,0.593
386,0.132,0.229,0.134,0.530,0.585
387,0.835,0.138,0.222,0.078,0.631
388,0.209,0.563,0.921,0.449,0.592
389,0.225,0.011,0.324,0.239,0.699
390,0.875,0.984,0.661,0.167,0.839
391,0.595,0.576,0.863,0.794,0.334
392,0.900,0.361,0.672,0.728,0.957
393,0.463,0.108,0.991,0.386,0.942
394,0.749,0.767,0.864,0.454,0.346
395,0.812,0.679,0.329,0.033,0.137
396,0.151,0.792,0.214,0.035,0.094
397,0.416,0.063,0.260,0.838,0.234
398,0.931,0.320,0.792,0.012,0.901
399,0.502,0.197,0.624,0.298,0.765
400,0.471,0.342,0.241,0.080,0.548
401,0.123,0.188,0.166,0.671,0.663
402,0.027,0.789,0.394,0.037,0.435
403,0.994,0.963,0.292,0.155,0.664
404,0.793,0.180,0.306,0.825,0.544
405,0.597,0.088,0.933,0.116,0.942
406,0.031,0.226,0.003,0.751,0.474
407,0.882,0.577,0.492,0.091,0.318
408,0.281,0.298,0.094,0.500,0.192
409,0.790,0.221,0.516,0.097,0.844
410,0.721,0.994,0.049,0.333,0.335
411,0.176,0.349,0.402,0.723,0.569
412,0.038,0.809,0.831,0.153,0.275
413,0.215,0.501,0.061,0.440,0.092
414,0.982,0.480,0.380,0.087,0.076
415,0.302,0.013,0.247,0.376,0.689
416,0.402,0.543,0.420,0.317,0.476
417,0.469,0.598,0.488,0.850,0.350
418,0.365,0.735,0.526,0.145,0.625
419,0.790,0.855,0.211,0.161,0.999
420,0.792,0.443,0.639,0.342,0.382
421,0.685,0.024,0.272,0.370,0.126
422,0.203,0.422,0.061,0.616,0.251
423,0.125,0.824,0.505,0.024,0.359
424,0.150,0.652,0.741,0.384,0.806
425,0.703,0.750,0.866,0.407,0.619
426,0.993,0.743,0.693,0.670,0.506
427,0.401,0.899,0.837,0.925,0.016
428,0.872,0.607,0.134,0.075,0.997
429,0.645,0.084,0.126,0.582,0.744
430,0.341,0.827,0.088,0.715,0.092
431,0.206,0.445,0.632,0.206,0.851
432,0.786,0.929,0.399,0.426,0.094
433,0.378,0.763,0.532,0.631,0.899
434,0.678,0.400,0.527,0.508,0.612
435,0.358,0.575,0.400,0.454,0.291
436,0.099,0.373,0.760,0.563,0.761
437,0.291,0.778,0.986,0.280,0.282
438,0.159,0.473,0.363,0.714,0.050
439,0.932,0.579,0.774,0.643,0.817
440,0.510,0.621,0.312,0.527,0.292
441,0.727,0.219,0.460,0.568,0.933
442,0.588,0.148,0.944,0.212,0.925
443,0.326,0.290,0.884,0.118,0.205
444,0.589,0.268,0.700,0.481,0.611
445,0.343,0.555,0.815,0.355,0.038
446,0.996,0.618,0.101,0.173,0.464
447,0.973,0.877,0.925,0.056,0.440
448,0.359,0.922,0.699,0.323,0.520
449,0.708,0.100,0.664,0.843,0.400
450,0.496,0.904,0.527,0.779,0.849
451,0.654,0.937,0.947,0.364,0.473
452,0.489,0.947,0.111,0.904,0.245
453,0.423,0.101,0.267,0.796,0.458
454,0.372,0.864,0.401,0.254,0.517
455,0.335,0.931,0.183,0.614,0.859
456,0.906,0.052,0.705,0.785,0.791
457,0.135,0.807,0.068,0.768,0.633
458,0.934,0.559,0.399,0.744,0.781
459,0.822,0.952,0.466,0.493,0.622
460,0.666,0.561,0.447,0.694,0.924
461,0.874,0.078,0.643,0.092,0.333
462,0.554,0.131,0.802,0.513,0.550
463,0.566,0.558,0.599,0.462,0.604
464,0.879,0.954,0.139,0.659,0.592
465,0.263,0.621,0.527,0.550,0.405
466,0.438,0.919,0.764,0.789,0.719
467,0.424,0.896,0.872,0.759,0.937
468,0.100,0.972,0.704,0.089,0.462
469,0.318,0.691,0.596,0.655,0.434
470,0.148,0.716,0.980,0.622,0.930
471,0.204,0.654,0.299,0.635,0.256
472,0.079,0.374,0.736,0.933,0.825
473,0.695,0.165,0.470,0.228,0.822
474,0.565,0.681,0.840,0.032,0.742
475,0.428,0.446,0.522,0.746,0.701
476,0.987,0.216,0.642,0.439,0.547
477,0.474,0.249,0.639,0.488,0.231
478,0.033,0.651,0.937,0.819,0.910
479,0.821,0.094,0.766,0.930,0.803
480,0.232,0.378,0.664,0.909,0.856
481,0.809,0.679,0.882,0.213,0.597
482,0.638,0.297,0.214,0.392,0.428
483,0.656,0.906,0.688,0.187,0.849
484,0.806,0.895,0.299,0.336,0.775
485,0.029,0.184,0.848,0.629,0.608
486,0.209,0.842,0.330,0.110,0.172
487,0.270,0.462,0.458,0.550,0.421
488,0.644,0.590,0.196,0.747,0.680
489,0.088,0.194,0.607,0.566,0.249
490,0.396,0.820,0.865,0.705,0.509
491,0.744,0.643,0.909,0.700,0.371
492,0.852,0.384,0.374,0.590,0.013
493,0.597,0.192,0.319,0.107,0.744
494,0.364,0.707,0.806,0.523,0.997
495,0.960,0.587,0.170,0.591,0.651
496,0.801,0.666,0.751,0.561,0.460
497,0.023,0.898,0.187,0.384,0.013
498,0.999,0.072,0.350,0.493,0.357
499,0.020,0.048,0.767,0.100,0.063
500,0.989,0.034,0.285,0.788,0.979
501,0.050,0.474,0.258,0.421,0.555
502,0.237,0.286,0.484,0.934,0.261
503,0.275,0.158,0.787,0.675,0.186
504,0.282,0.820,0.739,0.435,0.930
505,0.507,0.276,0.715,0.935,0.488
506,0.079,0.752,0.919,0.551,0.085
507,0.049,0.926,0.357,0.257,0.473
508,0.632,0.768,0.973,0.401,0.170
509,0.754,0.230,0.774,0.793,0.375
510,0.094,0.043,0.956,0.261,0.674
511,0.482,0.916,0.357,0.318,0.752
512,0.615,0.412,0.904,0.929,0.437
513,0.863,0.831,0.417,0.409,0.316
514,0.775,0.311,0.559,0.753,0.366
515,0.799,0.428,0.999,0.666,0.151
516,0.202,0.734,0.771,0.671,0.507
517,0.501,0.871,0.751,0.706,0.765
518,0.870,0.846,0.432,0.058,0.985
519,0.717,0.174,0.638,0.827,0.807
520,0.963,0.892,0.105,0.951,0.605
521,0.931,0.464,0.950,0.425,0.425
522,0.947,0.698,0.213,0.750,0.247
523,0.662,0.908,0.965,0.190,0.530
524,0.568,0.930,0.893,0.731,0.336
525,0.162,0.643,0.368,0.467,0.633
526,0.808,0.822,0.917,0.789,0.068
527,0.909,0.670,0.513,0.802,0.013
528,0.759,0.641,0.727,0.074,0.888
529,0.867,0.811,0.619,0.660,0.615
530,0.001,0.337,0.696,0.462,0.560
531,0.803,0.342,0.261,0.655,0.054
532,0.225,0.950,0.382,0.707,0.661
533,0.360,0.581,0.139,0.818,0.056
534,0.656,0.092,0.542,0.324,0.100
535,0.724,0.011,0.965,0.565,0.726
536,0.676,0.482,0.166,0.652,0.511
537,0.568,0.128,0.003,0.241,0.539
538,0.037,0.912,0.039,0.524,0.724
539,0.543,0.172,0.758,0.252,0.391
540,0.212,0.274,0.551,0.752,0.732
541,0.685,0.010,0.552,0.824,0.474
542,0.740,0.577,0.434,0.442,0.256
543,0.898,0.211,0.485,0.074,0.959
544,0.555,0.911,0.076,0.339,0.553
545,0.877,0.515,0.704,0.777,0.338
546,0.234,0.819,0.288,0.098,0.009
547,0.779,0.716,0.183,0.914,0.834
548,0.022,0.755,0.267,0.249,0.371
549,0.244,0.025,0.673,0.576,0.165
550,0.471,0.371,0.746,0.372,0.624
551,0.533,0.069,0.112,0.136,0.553
552,0.182,0.313,0.317,0.836,0.180
553,0.985,0.562,0.196,0.146,0.493
554,0.691,0.389,0.986,0.717,0.588
555,0.629,0.526,0.789,0.138,0.230
556,0.016,0.210,0.619,0.650,0.675
557,0.582,0.629,0.290,0.422,0.161
558,0.113,0.393,0.735,0.655,0.280
559,0.219,0.401,0.476,0.000,0.524
560,0.018,0.722,0.802,0.000,0.278
561,0.687,0.733,0.986,0.439,0.658
562,0.141,0.211,0.876,0.054,0.927
563,0.803,0.306,0.710,0.919,0.048
564,0.085,0.280,0.804,0.667,0.954
565,0.248,0.493,0.469,0.765,0.010
566,0.880,0.293,0.007,0.871,0.705
567,0.082,0.376,0.538,0.626,0.799
568,0.293,0.892,0.684,0.627,0.983
569,0.402,0.040,0.577,0.671,0.520
570,0.247,0.178,0.539,0.800,0.346
571,0.409,0.288,0.295,0.758,0.415
572,0.567,0.980,0.281,0.810,0.050
573,0.557,0.515,0.600,0.665,0.056
574,0.664,0.833,0.314,0.016,0.999
575,0.089,0.456,0.913,0.219,0.839
576,0.071,0.720,0.566,0.529,0.883
577,0.119,0.845,0.944,0.146,0.968
578,0.413,0.070,0.007,0.041,0.805
579,0.163,0.180,0.973,0.912,0.236
580,0.678,0.567,0.525,0.461,0.412
581,0.324,0.620,0.289,0.748,0.132
582,0.973,0.218,0.540,0.545,0.574
583,0.224,0.704,0.955,0.820,0.839
584,0.165,0.310,0.682,0.739,0.870
585,0.675,0.837,0.495,0.605,0.107
586,0.305,0.814,0.581,0.802,0.239
587,0.241,0.077,0.400,0.355,0.735
588,0.956,0.677,0.938,0.993,0.546
589,0.601,0.495,0.702,0.184,0.838
590,0.894,0.099,0.729,0.394,0.267
591,0.376,0.451,0.995,0.045,0.505
592,0.046,0.207,0.243,0.963,0.916
593,0.027,0.508,0.742,0.529,0.902
594,0.516,0.726,0.368,0.674,0.005
595,0.229,0.956,0.958,0.117,0.014
596,0.472,0.859,0.736,0.623,0.738
597,0.719,0.203,0.187,0.732,0.810
598,0.141,0.219,0.317,0.498,0.077
599,0.039,0.589,0.409,0.269,0.616
600,0.108,0.588,0.386,0.591,0.266
601,0.438,0.703,0.164,0.241,0.486
602,0.080,0.363,0.290,0.667,0.255
603,0.902,0.634,0.870,0.955,0.491
604,0.809,0.929,0.877,1.000,0.159
605,0.144,0.866,0.293,0.109,0.640
606,0.512,0.929,0.923,0.594,0.945
607,0.164,0.978,0.414,0.827,0.851
608,0.933,0.450,0.407,0.902,0.806
609,0.717,0.042,0.966,0.668,0.417
610,0.764,0.822,0.566,0.725,0.309
611,0.809,0.324,0.470,0.545,0.289
612,0.076,0.812,0.351,0.729,0.746
613,0.963,0.847,0.521,0.179,0.355
614,0.318,0.040,0.334,0.348,0.295
615,0.776,0.740,0.766,0.062,0.590
616,0.420,0.070,0.248,0.290,0.608
617,0.940,0.297,0.722,0.904,0.423
618,0.333,0.576,0.925,0.533,0.338
619,0.877,0.158,0.423,0.639,0.955
620,0.445,0.759,0.392,0.320,0.475
621,0.004,0.150,0.415,0.735,0.620
622,0.596,0.740,0.570,0.083,0.251
623,0.182,0.431,0.752,0.260,0.688
624,0.919,0.287,0.392,0.605,0.909
625,0.307,0.031,0.119,0.945,0.415
626,0.234,0.214,0.050,0.557,0.924
627,0.505,0.323,0.908,0.870,0.081
628,0.967,0.131,0.433,0.273,0.919
629,0.904,0.941,0.826,0.853,0.075
630,0.183,0.544,0.147,0.654,0.743
631,0.895,0.343,0.147,0.812,0.412
632,0.741,0.372,0.641,0.979,0.025
